World Rank,University Name,Country,National Rank,Total Score
431,Nanjing Forestry University,CN,69-88,
432,Nanjing Normal University,CN,69-88,
433,National Tsing Hua University,TW,4-5,
434,National Yang Ming Chiao Tung University,TW,4-5,
435,Northern Arizona University,US,100-117,
436,Polytechnic University of Valencia,ES,8-9,
437,Pusan National University,KR,9-12,
438,Renmin University of China,CN,69-88,
439,Rensselaer Polytechnic Institute,US,100-117,
440,Saint Petersburg State University,RU,2,
441,Sejong University,KR,9-12,
442,Shandong University of Science and Technology,CN,69-88,
443,University of Shanghai for Science and Technology,CN,69-88,
444,South China Agricultural University,CN,69-88,
445,South China Normal University,CN,69-88,
446,Southern Medical University,CN,69-88,
447,Southwest Jiaotong University,CN,69-88,
448,Stellenbosch University,ZA,3-4,
449,Swansea University,GB,34-38,
450,Technical University Darmstadt,DE,25-31,
451,Temple University,US,100-117,
452,The University of Dundee,GB,34-38,
453,The University of Newcastle Australia,AU,23-24,
454,Catholic University of the Sacred Heart,IT,11-17,
455,Federal University of Rio Grande do Sul,BR,3-5,
456,University of Natural Resources and Life Sciences Vienna,AT,5,
457,University of South Carolina  Columbia,US,100-117,
458,The University of Texas Medical Branch at Galveston,US,100-117,
459,University of Alabama at Birmingham,US,100-117,
460,University of Aveiro,PT,3-5,
461,University of Bari,IT,11-17,
462,University of Bath,GB,34-38,
463,University of Campinas,BR,3-5,
464,University of Canterbury,NZ,2-4,
465,University of Chile,CL,1,
466,University of Coimbra,PT,3-5,
467,University of Cte dAzur,FR,17-18,
468,University of Essex,GB,34-38,
469,University of Genoa,IT,11-17,
470,University of Jena,DE,25-31,
471,University of Kent,GB,34-38,
472,University of Malaya,MY,1,
473,University of Marburg,DE,25-31,
474,University of Minho,PT,3-5,
475,University of Notre Dame,US,100-117,
476,University of Oregon,US,100-117,
477,University of Otago,NZ,2-4,
478,University of Oulu,FI,4,
479,University of Pavia,IT,11-17,
480,University of Potsdam,DE,25-31,
481,University of Pretoria,ZA,3-4,
482,University of Regensburg,DE,25-31,
483,University of Rennes,FR,17-18,
484,University of Tehran,IR,1,
485,University of the Basque Country,ES,8-9,
486,University of Trento,IT,11-17,
487,University of Twente,NL,11-12,
488,University of Ulm,DE,25-31,
489,University of Vermont,US,100-117,
490,University of Warsaw,PL,1-2,
491,University of Zagreb,HR,1,
492,The University of Texas Health Science Center at San Antonio,US,100-117,
493,Utah State University,US,100-117,
494,Victoria University of Wellington,NZ,2-4,
495,VitaSalute San Raffaele University,IT,11-17,
496,Washington State University,US,100-117,
497,Xidian University,CN,69-88,
498,York University,CA,18,
499,Yunnan University,CN,69-88,
500,Zhejiang Normal University,CN,69-88,
501,Anhui Medical University,CN,89-110,
502,Anhui University,CN,89-110,
503,Aristotle University of Thessaloniki,GR,2,
504,Australian Catholic University,AU,25-26,
505,Beijing Jiaotong University,CN,89-110,
506,BenGurion University of the Negev,IL,6,
507,Binghamton University,US,118-144,
508,Boston College,US,118-144,
509,Brigham Young University,US,118-144,
510,Carleton University,CA,19-22,
511,Central China Normal University,CN,89-110,
512,Changan University,CN,89-110,
513,China University of Petroleum Beijing,CN,89-110,
514,The Chinese University of Hong Kong Shenzhen,CN,89-110,
515,Chulalongkorn University,TH,1,
516,COMSATS University Islamabad,PK,1,
517,Concordia University,CA,19-22,
518,DukeNUS Medical School,SG,3,
519,Eotvos Lorand University,HU,1,
520,Federal University of Rio de Janeiro,BR,6,
521,Florida International University,US,118-144,
522,Georgia State University,US,118-144,
523,Hangzhou Dianzi University,CN,89-110,
524,Harbin Engineering University,CN,89-110,
525,Hefei University of Technology,CN,89-110,
526,Hunan Normal University,CN,89-110,
527,Kansas State University,US,118-144,
528,Kobe University,JP,13-14,
529,Leibniz University Hannover,DE,32-36,
530,Medical University of Innsbruck,AT,6-7,
531,Medical University of South Carolina,US,118-144,
532,Mississippi State University,US,118-144,
533,Moscow Institute of Physics and Technology,RU,3,
534,Nanjing University of Posts and Telecommunications,CN,89-110,
535,National University of Ireland Galway,IE,4,
536,National University of Malaysia,MY,2,
537,National University of Defense Technology,CN,89-110,
538,Ningbo University,CN,89-110,
539,Northwest University,CN,89-110,
540,NorthWest University,ZA,5-7,
541,Okayama University,JP,13-14,
542,Oklahoma State University,US,118-144,
543,Prince Sattam Bin Abdulaziz University,SA,8,
544,Qatar University,QA,1,
545,Rush University,US,118-144,
546,Saarland University,DE,32-36,
